,Unnamed: 0,User,Tweet,Time,sentiment_score,sentiment_label
0,0,1655324598097829894,Best electric car bargain Retro anatomy  best pens claudia May       ,2023-05-07 21:31:53+00:00,1.0,Positive
1,1,1655324401183739904,RT @BrianGitt  It’s time stop pretending EVs good environment  Aluminum used Ford's F  electric truck traced b…,2023-05-07 21:31:06+00:00,0.7,Positive
2,2,1655323822587822083,@CMEvanGlass @TeslaMaryland @Royal Farms An electric car still car still burden public safety  climate action  public budgets  household budgets  health outcomes  happiness  If want green protect constituents end car dependency ,2023-05-07 21:28:48+00:00,0.11999999999999997,Positive
3,3,1655323708704141316,RT @BrianGitt  It’s time stop pretending EVs good environment  Aluminum used Ford's F  electric truck traced b…,2023-05-07 21:28:21+00:00,0.7,Positive
4,4,1655323027574333442,RT @leclercswift  car electric I'm sure max complaining,2023-05-07 21:25:38+00:00,0.5,Positive
5,5,1655322904064606212,"@paulpunter ""Fit electric motor  years time  car manufacturers pay us half million dollars start  """,2023-05-07 21:25:09+00:00,0.0697916666666667,Positive
6,6,1655322728759537666,Jansite   Electric Inflator Pump Portable Pa Vacuum Cleaner mAh Car Air Compressor Real time Monitor Led Light QWEMVEK    ,2023-05-07 21:24:27+00:00,0.19583333333333333,Positive
7,7,1655322530029228032,Thousands electric car chargers pulled UK roads energy price surge   via @yahoosg,2023-05-07 21:23:40+00:00,0.0,Positive
8,8,1655322455391764480,RT @evdirectories  EV Car Conversions UK “Quality News Links” A new £k bolt in kit turns classic Mini electric car | Top Gea…,2023-05-07 21:23:22+00:00,0.2676767676767677,Positive
9,9,1655322310742802434,@StephenLeahy The Ford F electric truck voted “Best Overall Green Car  ”  ,2023-05-07 21:22:47+00:00,0.26666666666666666,Positive
10,10,1655322208141709312,RT @BrianGitt  It’s time stop pretending EVs good environment  Aluminum used Ford's F  electric truck traced b…,2023-05-07 21:22:23+00:00,0.7,Positive
11,11,1655322045851537408,RT @BrianGitt  It’s time stop pretending EVs good environment  Aluminum used Ford's F  electric truck traced b…,2023-05-07 21:21:44+00:00,0.7,Positive
12,12,1655321786601414656,Electric car owners cannot wait brown outs offered Green New Deal  Then electric cars trucks going nowhere  Which exactly Greenies want ,2023-05-07 21:20:42+00:00,0.09431818181818181,Positive
13,13,1655321350880346115,@Maskingchildbad If I wanted buy car right now  I'd buy electric one  I get really annoyed I overpay anything  sort stuff would cause constant frustration ,2023-05-07 21:18:59+00:00,-0.038095238095238106,Negative
